formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed
"EMA(Max(Var($amount, 12), 12), 5)",1.7998591105686512,-0.006211479652769702,-1,0.006211479652769702,1.7998591105686512,1.7998591105686512,False,False,True,,0.999965115622555,800.0,1.0,gplearn_asb,strict_penalty,0
"Max(Var($amount, 12), 12)",1.769368093464561,-0.006440469404459144,-1,0.006440469404459144,1.769368093464561,1.769368093464561,False,False,True,,0.9788868556472363,776.0,1.0,gplearn_asb,strict_penalty,0
"Max(Var($amount, 12), 12)",1.769368093464561,-0.006440469404459144,-1,0.006440469404459144,1.769368093464561,1.769368093464561,False,False,True,,0.9788868556472363,776.0,1.0,gplearn_asb,strict_penalty,0
"Max(Var($amount, 12), 12)",1.769368093464561,-0.006440469404459144,-1,0.006440469404459144,1.769368093464561,1.769368093464561,False,False,True,,0.9788868556472363,776.0,1.0,gplearn_asb,strict_penalty,0
"Max(Var($amount, 12), 12)",1.769368093464561,-0.006440469404459144,-1,0.006440469404459144,1.769368093464561,1.769368093464561,False,False,True,,0.9788868556472363,776.0,1.0,gplearn_asb,strict_penalty,0
"Max(Var($amount, 12), 12)",1.769368093464561,-0.006440469404459144,-1,0.006440469404459144,1.769368093464561,1.769368093464561,False,False,True,,0.9788868556472363,776.0,1.0,gplearn_asb,strict_penalty,0
"Max(Var($amount, 12), 12)",1.769368093464561,-0.006440469404459144,-1,0.006440469404459144,1.769368093464561,1.769368093464561,False,False,True,,0.9788868556472363,776.0,1.0,gplearn_asb,strict_penalty,0
"Max(Var($amount, 12), 12)",1.769368093464561,-0.006440469404459144,-1,0.006440469404459144,1.769368093464561,1.769368093464561,False,False,True,,0.9788868556472363,776.0,1.0,gplearn_asb,strict_penalty,0
"Max(Var($amount, 12), 12)",1.769368093464561,-0.006440469404459144,-1,0.006440469404459144,1.769368093464561,1.769368093464561,False,False,True,,0.9788868556472363,776.0,1.0,gplearn_asb,strict_penalty,0
"Max(Var($amount, 12), 12)",1.769368093464561,-0.006440469404459144,-1,0.006440469404459144,1.769368093464561,1.769368093464561,False,False,True,,0.9788868556472363,776.0,1.0,gplearn_asb,strict_penalty,0
