formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Std(WMA($amount, 5), 64)",0.1442426399149897,-0.009780031749371686,-1,0.009780031749371686,0.1442426399149897,0.1442426399149897,False,False,True,,0.9923755656108598,793.0,1.0,gplearn_asb,strict_penalty,3,fixed,953,0,37,0.7477886202528524
"Max(Var(Sub($close, $vwap), 30), 64)",0.03772265632888236,-0.0013881301929800243,-1,0.0013881301929800243,0.03772265632888236,0.03772265632888236,False,False,True,,0.9959168037844508,796.0,1.0,gplearn_asb,strict_penalty,3,fixed,953,0,37,0.7477886202528524
"Less($high, Mean($close, 5))",0.029939387861331445,-0.0024289341314498916,-1,0.0024289341314498916,0.029939387861331445,0.029939387861331445,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,3,fixed,953,0,37,0.7477886202528524
"Ref(Min($factor, 64), 5)",0.022584160873426778,-0.0035022284526147218,-1,0.0035022284526147218,0.022584160873426778,0.022584160873426778,False,False,True,,0.9999588646647468,800.0,1.0,gplearn_asb,strict_penalty,3,fixed,953,0,37,0.7477886202528524
"Greater($low, $volume)",0.013443615682962469,-0.012182088102654535,-1,0.012182088102654535,0.013443615682962469,0.013443615682962469,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,3,fixed,953,0,37,0.7477886202528524
"Max(Slope($change, 12), 64)",9.142790195467672e-05,-0.0010118137815534856,-1,0.0010118137815534856,9.142790195467672e-05,9.142790195467672e-05,False,False,True,,0.9935710612916496,794.0,1.0,gplearn_asb,strict_penalty,3,fixed,953,0,37,0.7477886202528524
"Max(Kurt($adjclose, 30), 64)",7.2956489189645036e-06,-0.003604681330615778,-1,0.003604681330615778,7.2956489189645036e-06,7.2956489189645036e-06,False,False,True,,0.9954828259975319,795.0,1.0,gplearn_asb,strict_penalty,3,fixed,953,0,37,0.7477886202528524
"Max(Log(Ref(Mad($factor, 5), 12)), 64)",-0.01275262246011378,-0.0009963545697236106,-1,0.0009963545697236106,-0.01275262246011378,-0.01275262246011378,False,False,True,,0.9871200929981206,789.0,1.0,gplearn_asb,strict_penalty,3,fixed,953,0,37,0.7477886202528524
"Kurt($close, 12)",-0.06120265626181497,-0.010418169349190314,-1,0.010418169349190314,-0.06120265626181497,-0.06120265626181497,False,False,True,,0.9701467059468789,766.0,1.0,gplearn_asb,strict_penalty,3,fixed,953,0,37,0.7477886202528524
"Resi($high, 5)",-0.10916805575560241,0.003946398426522081,1,0.003946398426522081,-0.10916805575560241,-0.10916805575560241,False,False,True,,0.9583503621522652,758.0,1.0,gplearn_asb,strict_penalty,3,fixed,953,0,37,0.7477886202528524
