formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"EMA(Div($close, $vwap), 12)",2.74508083249642,-0.04825861850290152,-1,0.04825861850290152,2.74508083249642,2.74508083249642,False,False,True,,0.9999549124462619,800.0,1.0,gplearn_asb,strict_penalty,1,fixed,953,46,37,0.15725869979764662
"EMA(WMA(Div($close, $vwap), 5), 12)",2.642876728748561,-0.011831933660764135,-1,0.011831933660764135,2.642876728748561,2.642876728748561,False,False,True,,0.9999640872391738,800.0,1.0,gplearn_asb,strict_penalty,1,fixed,953,46,37,0.15725869979764662
"WMA(Var(EMA($amount, 5), 12), 5)",1.7925881439968512,-0.007479974975825673,-1,0.007479974975825673,1.7925881439968512,1.7925881439968512,False,False,True,,0.9999640872391738,800.0,1.0,gplearn_asb,strict_penalty,1,fixed,953,46,37,0.15725869979764662
"EMA(Delta($volume, 64), 30)",0.6509559083953835,-0.00342148264876024,-1,0.00342148264876024,0.6509559083953835,0.6509559083953835,False,False,True,,0.9997085339689146,800.0,1.0,gplearn_asb,strict_penalty,1,fixed,953,46,37,0.15725869979764662
"EMA(EMA(EMA($factor, 5), 30), 12)",0.40641001398898213,-0.003478027090618082,-1,0.003478027090618082,0.40641001398898213,0.40641001398898213,False,False,True,,1.0,800.0,1.0,gplearn_asb,strict_penalty,1,fixed,953,46,37,0.15725869979764662
"Slope(Slope(Div($close, $vwap), 64), 64)",0.26753440753714725,-0.001458960719441698,-1,0.001458960719441698,0.26753440753714725,0.26753440753714725,False,False,True,,0.9982322089675032,798.0,1.0,gplearn_asb,strict_penalty,1,fixed,953,46,37,0.15725869979764662
"WMA(Var(Slope(Div($close, $vwap), 64), 12), 5)",-0.04796456127942719,-0.005243969921605738,-1,0.005243969921605738,-0.04796456127942719,-0.04796456127942719,False,False,True,,0.9939073426573427,794.0,1.0,gplearn_asb,strict_penalty,1,fixed,953,46,37,0.15725869979764662
"Div($adjclose, $high)",-1.082401121230808,-0.00013935451110942844,-1,0.00013935451110942844,-1.082401121230808,-1.082401121230808,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,1,fixed,953,46,37,0.15725869979764662
"Skew($close, 12)",-2.2647130454493754,-0.0033438880204508816,-1,0.0033438880204508816,-2.2647130454493754,-2.2647130454493754,False,False,True,,0.9716753978432179,768.0,1.0,gplearn_asb,strict_penalty,1,fixed,953,46,37,0.15725869979764662
"EMA(Min(Sign(WMA($open, 64)), 64), 30)",-1000000.0,0.0,1,0.0,,-1000000.0,True,False,False,no_correlatable_day,1.0,800.0,1.0,gplearn_asb,strict_penalty,1,fixed,953,46,37,0.15725869979764662
