formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed
"Add(Med(Sub(Var(EMA($amount, 30), 12), $adjclose), 12), Var(Abs(EMA(Std($amount, 5), 12)), 12))",1.8063235631056573,-0.007421101506738734,-1,0.007421101506738734,1.8063235631056573,1.8063235631056573,False,False,True,,0.9742946903154515,771.0,1.0,gplearn_asb,strict_penalty,2
"EMA(Var($amount, 5), 12)",1.7362696032692226,-0.00650483987751435,-1,0.00650483987751435,1.7362696032692226,1.7362696032692226,False,False,True,,0.9999630588557925,800.0,1.0,gplearn_asb,strict_penalty,2
"EMA(Var($amount, 5), 12)",1.7362696032692226,-0.00650483987751435,-1,0.00650483987751435,1.7362696032692226,1.7362696032692226,False,False,True,,0.9999630588557925,800.0,1.0,gplearn_asb,strict_penalty,2
"Var(EMA(Sub(Std($amount, 5), $adjclose), 12), 30)",1.736242013879745,-0.003907509257822877,-1,0.003907509257822877,1.736242013879745,1.736242013879745,False,False,True,,0.9999994858083092,800.0,1.0,gplearn_asb,strict_penalty,2
"EMA(Add(Med(Max($factor, 64), 12), Var(Var($amount, 12), 12)), 12)",1.7361544026818836,-0.0034783718895602367,-1,0.0034783718895602367,1.7361544026818836,1.7361544026818836,False,False,True,,0.9999994858083092,800.0,1.0,gplearn_asb,strict_penalty,2
"EMA(Sub(Var(Var($amount, 12), 12), Std(EMA(Std($amount, 5), 12), 30)), 12)",1.7355618473926164,-0.003478341280692498,-1,0.003478341280692498,1.7355618473926164,1.7355618473926164,False,False,True,,0.9999994858083092,800.0,1.0,gplearn_asb,strict_penalty,2
"EMA(Var(Var($amount, 12), 12), 12)",1.7353927431572471,-0.003501947073476627,-1,0.003501947073476627,1.7353927431572471,1.7353927431572471,False,False,True,,0.9999646014308644,800.0,1.0,gplearn_asb,strict_penalty,2
"EMA(Var(Var($amount, 12), 12), 12)",1.7353927431572471,-0.003501947073476627,-1,0.003501947073476627,1.7353927431572471,1.7353927431572471,False,False,True,,0.9999646014308644,800.0,1.0,gplearn_asb,strict_penalty,2
"EMA(Sub(Var(Var($amount, 12), 12), EMA(Var($amount, 12), 12)), 12)",1.7353927431572471,-0.0035019470717039636,-1,0.0035019470717039636,1.7353927431572471,1.7353927431572471,False,False,True,,0.9999646014308644,800.0,1.0,gplearn_asb,strict_penalty,2
"EMA(Var(Var($amount, 12), 12), 12)",1.7353927431572471,-0.003501947073476627,-1,0.003501947073476627,1.7353927431572471,1.7353927431572471,False,False,True,,0.9999646014308644,800.0,1.0,gplearn_asb,strict_penalty,2
