formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Add(Med(Sub(Var(EMA($amount, 30), 12), $adjclose), 12), Var(Abs(EMA(Std($amount, 5), 12)), 12))",1.8063235631056573,-0.007421101506738734,-1,0.007421101506738734,1.8063235631056573,1.8063235631056573,False,False,True,,0.9742946903154515,771.0,1.0,gplearn_asb,strict_penalty,2,fixed,524,0,40,0.9149402756727582
"Add(Sum(Var(EMA($amount, 30), 12), 5), Greater(EMA(Var($amount, 12), 12), Mad($vwap, 5)))",1.7960438317416334,-0.007074978293488173,-1,0.007074978293488173,1.7960438317416334,1.7960438317416334,False,False,True,,0.9687060214871634,764.0,1.0,gplearn_asb,strict_penalty,2,fixed,524,0,40,0.9149402756727582
"Add(Mad($amount, 30), Var(Greater(WMA($amount, 5), Std($amount, 5)), 30))",1.7754752393529882,-0.005091968637093919,-1,0.005091968637093919,1.7754752393529882,1.7754752393529882,False,False,True,,0.9817868967825715,780.0,1.0,gplearn_asb,strict_penalty,2,fixed,524,0,40,0.9149402756727582
"EMA(Var(Std($amount, 12), 12), 12)",1.7690432963884202,-0.0064688163140143055,-1,0.0064688163140143055,1.7690432963884202,1.7690432963884202,False,False,True,,0.9999646014308644,800.0,1.0,gplearn_asb,strict_penalty,2,fixed,524,0,40,0.9149402756727582
"EMA(Sub(Var($amount, 5), $adjclose), 12)",1.7608579791666943,-0.006144918939408445,-1,0.006144918939408445,1.7608579791666943,1.7608579791666943,False,False,True,,0.9999630588557925,800.0,1.0,gplearn_asb,strict_penalty,2,fixed,524,0,40,0.9149402756727582
"Add(Greater(Mul($volume, $high), Mad($vwap, 5)), Var(Greater(Std($amount, 12), Mad($amount, 30)), 30))",1.757298353269585,-0.005784569155267187,-1,0.005784569155267187,1.757298353269585,1.757298353269585,False,False,True,,0.9589781902065638,758.0,1.0,gplearn_asb,strict_penalty,2,fixed,524,0,40,0.9149402756727582
"EMA(Add(WMA($amount, 5), Sub(Var(Var($amount, 12), 12), Add(Var($amount, 12), Resi($change, 5)))), 12)",1.7365567432781182,-0.003519093870039902,-1,0.003519093870039902,1.7365567432781182,1.7365567432781182,False,False,True,,0.9999646014308644,800.0,1.0,gplearn_asb,strict_penalty,2,fixed,524,0,40,0.9149402756727582
"Var(EMA(Sub(Std($amount, 5), $adjclose), 12), 30)",1.736242013879745,-0.003907509257822877,-1,0.003907509257822877,1.736242013879745,1.736242013879745,False,False,True,,0.9999994858083092,800.0,1.0,gplearn_asb,strict_penalty,2,fixed,524,0,40,0.9149402756727582
"Add(EMA(Sub(Std($amount, 12), $adjclose), 12), Std($amount, 30))",1.7309526019686956,-0.012240095539359869,-1,0.012240095539359869,1.7309526019686956,1.7309526019686956,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,2,fixed,524,0,40,0.9149402756727582
"Std(Abs(EMA(Std($amount, 5), 12)), 30)",1.719522394280696,-0.009909946570450297,-1,0.009909946570450297,1.719522394280696,1.719522394280696,False,False,True,,0.9999994858083092,800.0,1.0,gplearn_asb,strict_penalty,2,fixed,524,0,40,0.9149402756727582
