formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Std(Std($volume, 5), 64)",0.2233126046312787,-0.007136238694210959,-1,0.007136238694210959,0.2233126046312787,0.2233126046312787,False,False,True,,0.990491202346041,794.0,1.0,gplearn_asb_v2,strict_penalty,1,fixed,245,4,0,0.8161946937745403
"Std(Std(Std($volume, 5), 64), 64)",0.11712653625361762,-0.006330417503138546,-1,0.006330417503138546,0.11712653625361762,0.11712653625361762,False,False,True,,0.9978988269794722,799.0,1.0,gplearn_asb_v2,strict_penalty,1,fixed,245,4,0,0.8161946937745403
"Std($volume, 5)",0.03063286643565255,-0.010761179771760465,-1,0.010761179771760465,0.03063286643565255,0.03063286643565255,False,False,True,,0.966016129032258,770.0,1.0,gplearn_asb_v2,strict_penalty,1,fixed,245,4,0,0.8161946937745403
"Mean(Div(Ref($high, 30), Var($vwap, 5)), 12)",-0.006112790957389232,-0.004540438647887145,-1,0.004540438647887145,-0.006112790957389232,-0.006112790957389232,False,False,True,,0.9629655425219942,766.0,1.0,gplearn_asb_v2,strict_penalty,1,fixed,245,4,0,0.8161946937745403
"Std(Power(Delta($volume, 64), Max(Power($factor, $amount), 12)), 64)",-1000000.0,0.0,1,0.0,,-1000000.0,True,False,False,no_correlatable_day,0.8511312316715542,676.0,1.0,gplearn_asb_v2,strict_penalty,1,fixed,245,4,0,0.8161946937745403
