generation,L_p95,L_p99,L_max,D_p95,D_p99,D_max,exceed_rate
0,14.0,18.00999999999999,20,5.0,5.0,5,0.0
1,13.049999999999955,17.0,19,5.0,6.0,7,0.0
2,17.0,20.019999999999982,27,6.0,7.009999999999991,8,0.0
3,17.0,22.00999999999999,27,6.0,7.0,9,0.0
4,15.0,17.0,25,6.0,7.0,11,0.002
5,21.0,27.0,27,8.0,9.0,10,0.0
6,27.0,31.019999999999982,39,9.0,11.0,13,0.012
7,31.0,37.01999999999998,45,10.0,13.0,14,0.046
8,37.0,41.01999999999998,45,11.0,13.0,14,0.096
9,47.0,59.01999999999998,77,13.0,15.009999999999991,17,0.254
