formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed
"Min(Abs($change), 12)",0.08233311221246487,0.08233311221246487,1,0.08233311221246487,0.08233311221246487,0.08233311221246487,False,False,True,,0.9573133937989471,2430.0,1.0,gplearn_asb,off,42
"Power(Resi($high, 30), Slope($close, 12))",0.04980301919272158,-0.04980301919272158,-1,0.04980301919272158,0.04980301919272158,0.04980301919272158,False,False,True,,0.48268804451705055,1294.0,1.0,gplearn_asb,off,42
"Abs(Power(Resi($high, 30), Slope($close, 12)))",0.04980301919272158,-0.04980301919272158,-1,0.04980301919272158,0.04980301919272158,0.04980301919272158,False,False,True,,0.48268804451705055,1294.0,1.0,gplearn_asb,off,42
"Power(Resi($high, 30), Slope($close, 12))",0.04980301919272158,-0.04980301919272158,-1,0.04980301919272158,0.04980301919272158,0.04980301919272158,False,False,True,,0.48268804451705055,1294.0,1.0,gplearn_asb,off,42
Log($volume),0.04819569424132379,-0.04819569424132379,-1,0.04819569424132379,0.04819569424132379,0.04819569424132379,False,False,True,,0.9399662328862948,2388.0,1.0,gplearn_asb,off,42
