generation,L_p95,L_p99,L_max,D_p95,D_p99,D_max,exceed_rate
0,13.549999999999983,18.50999999999999,20,5.0,5.0,5,0.0
1,13.0,15.509999999999991,19,5.0,6.0,6,0.0
2,20.099999999999966,25.0,29,7.0,8.0,9,0.0
3,17.0,24.019999999999982,27,6.0,7.0,8,0.0
4,19.0,23.0,27,7.0,8.0,9,0.0
5,23.0,25.50999999999999,27,9.0,10.0,11,0.008
6,25.0,32.01999999999998,34,10.0,11.0,12,0.02
7,28.0,30.0,30,10.0,12.0,12,0.04
8,25.0,29.0,30,9.0,11.0,12,0.02
9,23.549999999999983,26.0,28,9.0,10.0,11,0.008
10,23.0,26.0,31,8.0,9.0,10,0.0
11,25.0,28.50999999999999,31,8.0,10.0,10,0.0
12,25.0,31.0,36,9.0,10.0,10,0.0
13,25.0,32.52999999999997,41,9.0,10.0,12,0.008
14,26.0,34.50999999999999,36,9.0,10.0,13,0.008
15,29.0,33.50999999999999,39,9.0,11.0,12,0.016
16,31.0,38.50999999999999,43,9.549999999999983,11.0,11,0.028
17,36.0,43.01999999999998,51,10.0,11.0,12,0.028
18,39.0,52.50999999999999,62,10.0,12.509999999999991,15,0.064
19,40.54999999999998,46.50999999999999,57,11.0,12.0,14,0.088
