formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Sub(Sub(Max(Max(Max(Std($volume, 64), 64), 64), 64), Med(Med(Log($change), 64), 64)), Med(Med(Std($volume, 64), 64), 64))",0.260487975067441,-0.008018279863027333,-1,0.008018279863027333,0.260487975067441,0.260487975067441,False,False,True,,0.9977939882697947,799.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,83,0,40,0.9477962480126623
"Sub(Max(Max(Max(Max(Std($volume, 64), 64), 64), 64), 64), Med(Med(Std($volume, 64), 64), 64))",0.2604566543726766,-0.007857212469266238,-1,0.007857212469266238,0.2604566543726766,0.2604566543726766,False,False,True,,0.9993541055718476,800.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,83,0,40,0.9477962480126623
"Sub(Sub(Max(Max(Max(Std($volume, 64), 64), 64), 64), Med(Med(Med(Log($change), 64), 64), 64)), Med(Med(Med(Std($volume, 64), 64), 64), 64))",0.258187153501511,-0.007552006915815183,-1,0.007552006915815183,0.258187153501511,0.258187153501511,False,False,True,,0.9993255131964809,800.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,83,0,40,0.9477962480126623
"Sub(Sub(Sub(Sub(Max(Max(Max(Std($volume, 64), 64), 30), 64), Med(Log($change), 64)), Med(Log($change), 64)), Med(Med(Std($volume, 64), 64), 64)), Med(Log($change), 64))",0.25118952691608615,-0.00812674177236553,-1,0.00812674177236553,0.25118952691608615,0.25118952691608615,False,False,True,,0.9895931085043987,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,83,0,40,0.9477962480126623
"Sub(Sub(Sub(Max(Max(Max(Std($volume, 64), 64), 64), 64), Med(Log($change), 64)), Med(Log($change), 64)), Med(Med(Med(Med(Log($change), 64), 64), 64), 64))",0.24206220012864002,-0.007736128002979489,-1,0.007736128002979489,0.24206220012864002,0.24206220012864002,False,False,True,,0.9895953079178885,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,83,0,40,0.9477962480126623
"Sub(Sub(Max(Max(Max(Sub(Max(Max(Max(Std($volume, 64), 64), 64), 64), Med(Med(Med(Log($change), 64), 64), 64)), 64), 64), 64), Med(Med(Log($change), 64), 64)), Med(Med(Std($volume, 64), 64), 64))",0.23547481059435868,-0.006416854340402502,-1,0.006416854340402502,0.23547481059435868,0.23547481059435868,False,False,True,,0.9977939882697947,799.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,83,0,40,0.9477962480126623
"Sub(Sub(Sub(Max(Sub(Max(Max(Max(Max(Std($volume, 64), 64), 64), 64), 64), Med(Log($change), 64)), 64), Med(Log($change), 64)), Med(Log($change), 64)), Med(Med(Std($volume, 64), 64), 64))",0.22508098026775517,-0.006699509629045251,-1,0.006699509629045251,0.22508098026775517,0.22508098026775517,False,False,True,,0.9895931085043987,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,83,0,40,0.9477962480126623
"Sub(Sub(Sub(Std($volume, 64), Med(Log($change), 64)), Med(Log($change), 64)), Med(Med(Log($change), 64), 64))",0.22017383704372745,-0.007590064094760208,-1,0.007590064094760208,0.22017383704372745,0.22017383704372745,False,False,True,,0.9893936950146626,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,83,0,40,0.9477962480126623
"Sub(Sub(Max(Max(Std($volume, 64), 64), 64), Med(Med(Log($change), 64), 64)), Med(Med(Std($volume, 64), 64), 64))",0.20990659540744547,-0.00800526928380837,-1,0.00800526928380837,0.20990659540744547,0.20990659540744547,False,False,True,,0.9977939882697947,799.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,83,0,40,0.9477962480126623
"Sub(Sub(Max(Std($volume, 64), 64), Med(Log($change), 64)), Med(Log($change), 64))",0.20972804713202356,-0.007106663913444512,-1,0.007106663913444512,0.20972804713202356,0.20972804713202356,False,False,True,,0.9895813782991202,794.0,1.0,gplearn_asb_v2,strict_penalty,0,fixed,83,0,40,0.9477962480126623
