formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed
"Less($change, Sub(Less($change, $amount), Log(Ref(Mad($factor, 5), 12))))",0.033105112400589394,0.033105112400589394,1,0.033105112400589394,0.033105112400589394,0.033105112400589394,False,False,True,,0.9595525423250337,759.0,1.0,gplearn_asb,off,3
"Less($change, Sub(Less($change, $amount), Sign($close)))",0.03309858285608242,0.03309858285608242,1,0.03309858285608242,0.03309858285608242,0.03309858285608242,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,3
"Sub(Less($change, $amount), Sign($close))",0.03309858285608242,0.03309858285608242,1,0.03309858285608242,0.03309858285608242,0.03309858285608242,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,3
"Sub(Less($amount, $change), Sign($close))",0.03309858285608242,0.03309858285608242,1,0.03309858285608242,0.03309858285608242,0.03309858285608242,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,3
"Sub(Less($change, $amount), Sign($close))",0.03309858285608242,0.03309858285608242,1,0.03309858285608242,0.03309858285608242,0.03309858285608242,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,3
"Sub(Less($change, $amount), Sign($close))",0.03309858285608242,0.03309858285608242,1,0.03309858285608242,0.03309858285608242,0.03309858285608242,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,3
"Sub(Less($change, $amount), Sign($close))",0.03309858285608242,0.03309858285608242,1,0.03309858285608242,0.03309858285608242,0.03309858285608242,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,3
"Sub(Less($change, $amount), Sign($close))",0.03309858285608242,0.03309858285608242,1,0.03309858285608242,0.03309858285608242,0.03309858285608242,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,3
"Sub(Less($change, $amount), Sign($close))",0.03309858285608242,0.03309858285608242,1,0.03309858285608242,0.03309858285608242,0.03309858285608242,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,3
"Sub(Less($amount, $change), Sign($close))",0.03309858285608242,0.03309858285608242,1,0.03309858285608242,0.03309858285608242,0.03309858285608242,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,3
