formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed
"Div(Div(Less($change, $change), IdxMax(Med($adjclose, 5), 5)), Sub($volume, $change))",0.050436572921895254,0.050436572921895254,1,0.050436572921895254,0.050436572921895254,0.050436572921895254,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,0
"Div(Less($change, $change), Sub($volume, $change))",0.04921152548890044,0.04921152548890044,1,0.04921152548890044,0.04921152548890044,0.04921152548890044,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,0
"Less(Div(Greater($change, $change), Sub($volume, $change)), $open)",0.04921152548890044,0.04921152548890044,1,0.04921152548890044,0.04921152548890044,0.04921152548890044,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,0
"Less(Less(Div(Less($low, $change), Sub($volume, $change)), $open), $open)",0.04921152548890044,0.04921152548890044,1,0.04921152548890044,0.04921152548890044,0.04921152548890044,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,0
"Less(Div(Less($change, $change), Sub($volume, $change)), $open)",0.04921152548890044,0.04921152548890044,1,0.04921152548890044,0.04921152548890044,0.04921152548890044,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,0
"Div(Less($change, $open), Sub($volume, $change))",0.04921152548890044,0.04921152548890044,1,0.04921152548890044,0.04921152548890044,0.04921152548890044,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,0
"Less(Div(Less($change, $change), Sub($volume, $change)), $open)",0.04921152548890044,0.04921152548890044,1,0.04921152548890044,0.04921152548890044,0.04921152548890044,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,0
"Less(Div(Less($change, $change), Sub($volume, $change)), $open)",0.04921152548890044,0.04921152548890044,1,0.04921152548890044,0.04921152548890044,0.04921152548890044,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,0
"Less(Div(Less($change, $change), Sub($volume, $change)), $open)",0.04921152548890044,0.04921152548890044,1,0.04921152548890044,0.04921152548890044,0.04921152548890044,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,0
"Div(Less($change, $change), Sub($volume, $change))",0.04921152548890044,0.04921152548890044,1,0.04921152548890044,0.04921152548890044,0.04921152548890044,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,off,0
