formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed
"Abs(Mean($change, 64))",0.03773915411399113,-0.03773915411399113,-1,0.03773915411399113,0.03773915411399113,0.03773915411399113,False,False,True,,0.989039704524469,296.0,1.0,gplearn_asb,off,42
"Power(Resi($high, 30), Slope($close, 12))",0.013937503969982199,-0.013937503969982199,-1,0.013937503969982199,0.013937503969982199,0.013937503969982199,False,False,True,,0.5154570637119114,169.0,1.0,gplearn_asb,off,42
"Abs(Power(Resi($high, 30), Slope($close, 12)))",0.013937503969982199,-0.013937503969982199,-1,0.013937503969982199,0.013937503969982199,0.013937503969982199,False,False,True,,0.5154570637119114,169.0,1.0,gplearn_asb,off,42
"Abs(Power(Resi($high, 30), Slope($close, 12)))",0.013937503969982199,-0.013937503969982199,-1,0.013937503969982199,0.013937503969982199,0.013937503969982199,False,False,True,,0.5154570637119114,169.0,1.0,gplearn_asb,off,42
"Abs(Power(Resi($high, 30), Slope($close, 12)))",0.013937503969982199,-0.013937503969982199,-1,0.013937503969982199,0.013937503969982199,0.013937503969982199,False,False,True,,0.5154570637119114,169.0,1.0,gplearn_asb,off,42
