formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed
"Mul(EMA(Var($amount, 12), 30), WMA($open, 12))",0.17111617079340746,-0.004227790778525394,-1,0.004227790778525394,0.17111617079340746,0.17111617079340746,False,False,True,,0.9742952045071422,771.0,1.0,gplearn_asb,strict_penalty,2
"Mul($vwap, EMA(Var($amount, 5), 30))",0.16203064370423567,-0.004190995690278029,-1,0.004190995690278029,0.16203064370423567,0.16203064370423567,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,2
"Mul($vwap, EMA(Var($amount, 5), 30))",0.16203064370423567,-0.004190995690278029,-1,0.004190995690278029,0.16203064370423567,0.16203064370423567,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,2
"Mul($vwap, EMA(Var($amount, 5), 30))",0.16203064370423567,-0.004190995690278029,-1,0.004190995690278029,0.16203064370423567,0.16203064370423567,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,2
"Mul(EMA(Add(Var($amount, 5), Var(Greater(Mul($volume, $high), Mad($vwap, 5)), 30)), 12), WMA($open, 12))",0.16080102303945898,-0.003783852827773325,-1,0.003783852827773325,0.16080102303945898,0.16080102303945898,False,False,True,,0.9742952045071422,771.0,1.0,gplearn_asb,strict_penalty,2
"Mul(EMA(Var($amount, 5), 30), Std($amount, 30))",0.15999415003258524,-0.0033532136258701897,-1,0.0033532136258701897,0.15999415003258524,0.15999415003258524,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,2
"Greater(Mul($vwap, Mean(EMA(Var($amount, 5), 30), 5)), EMA(Var($amount, 5), 30))",0.1599758014059928,-0.003894850828531375,-1,0.003894850828531375,0.1599758014059928,0.1599758014059928,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,2
"Mul($vwap, Mean(EMA(Var($amount, 5), 30), 5))",0.1587865284430769,-0.003862954760238021,-1,0.003862954760238021,0.1587865284430769,0.1587865284430769,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,2
"Mul($vwap, Mean(EMA(Var($amount, 5), 30), 5))",0.1587865284430769,-0.003862954760238021,-1,0.003862954760238021,0.1587865284430769,0.1587865284430769,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,2
"Mul($vwap, Mean(EMA(Var($amount, 5), 30), 5))",0.1587865284430769,-0.003862954760238021,-1,0.003862954760238021,0.1587865284430769,0.1587865284430769,False,False,True,,0.9595653971173003,759.0,1.0,gplearn_asb,strict_penalty,2
