generation,L_p95,L_p99,L_max,D_p95,D_p99,D_max,exceed_rate
0,13.0,19.0,23,5.0,5.0,5,0.0
1,11.0,18.00999999999999,26,5.0,7.0,8,0.0
2,13.049999999999955,17.0,22,6.0,7.0,8,0.0
3,17.0,21.00999999999999,26,7.0,8.0,10,0.0
4,11.0,14.0,16,5.0,7.0,8,0.0
