formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Max(Max(Std(Mad($amount, 5), 30), 5), 5)",0.15448329054251225,-0.011168992285490278,-1,0.011168992285490278,0.15448329054251225,0.15448329054251225,False,False,True,,0.9857224796541404,785.0,1.0,gplearn_asb,strict_penalty,0,fixed,874,0,40,0.9726731158740939
"Add(Std($amount, 30), Max(Std(Mad($amount, 5), 30), 5))",0.15376007352447077,-0.012197927157105085,-1,0.012197927157105085,0.15376007352447077,0.15376007352447077,False,False,True,,0.981729821504908,780.0,1.0,gplearn_asb,strict_penalty,0,fixed,874,0,40,0.9726731158740939
"Max(Max(EMA(Mul($volume, $high), 12), 12), 5)",0.1507465267669442,-0.011729005994300502,-1,0.011729005994300502,0.1507465267669442,0.1507465267669442,False,False,True,,0.999965115622555,800.0,1.0,gplearn_asb,strict_penalty,0,fixed,874,0,40,0.9726731158740939
"Std(Mad($amount, 5), 30)",0.14926222904426428,-0.011461376653483006,-1,0.011461376653483006,0.14926222904426428,0.14926222904426428,False,False,True,,0.9831525899129706,782.0,1.0,gplearn_asb,strict_penalty,0,fixed,874,0,40,0.9726731158740939
"Max(Max(Std(Mad($amount, 5), 30), 12), 5)",0.14906676177735903,-0.010332442358421932,-1,0.010332442358421932,0.14906676177735903,0.14906676177735903,False,False,True,,0.9877858905800082,788.0,1.0,gplearn_asb,strict_penalty,0,fixed,874,0,40,0.9726731158740939
"Max(Max(Var($amount, 30), 12), 5)",0.1488311334003539,-0.005046227148048013,-1,0.005046227148048013,0.1488311334003539,0.1488311334003539,False,False,True,,0.9866387289181408,786.0,1.0,gplearn_asb,strict_penalty,0,fixed,874,0,40,0.9726731158740939
"Max(Max(Std($amount, 30), 5), 12)",0.1488311334003539,-0.010718448477352096,-1,0.010718448477352096,0.1488311334003539,0.1488311334003539,False,False,True,,0.9866387289181408,786.0,1.0,gplearn_asb,strict_penalty,0,fixed,874,0,40,0.9726731158740939
"Sub(Mad($amount, 5), Max(Var($amount, 30), 5))",0.14860210022728496,0.005756428843036482,1,0.005756428843036482,0.14860210022728496,0.14860210022728496,False,False,True,,0.9683872226389527,764.0,1.0,gplearn_asb,strict_penalty,0,fixed,874,0,40,0.9726731158740939
"Sub(Mul($volume, $high), Max(Var($amount, 30), 64))",0.14803301555133933,0.0048742728502596975,1,0.0048742728502596975,0.14803301555133933,0.14803301555133933,False,False,True,,0.9594687290794557,759.0,1.0,gplearn_asb,strict_penalty,0,fixed,874,0,40,0.9726731158740939
"Max(Std($amount, 30), 64)",0.14802076021869628,-0.009586787910821024,-1,0.009586787910821024,0.14802076021869628,0.14802076021869628,False,False,True,,0.9959168037844508,796.0,1.0,gplearn_asb,strict_penalty,0,fixed,874,0,40,0.9726731158740939
