generation,L_p95,L_p99,L_max,D_p95,D_p99,D_max,exceed_rate
0,14.0,19.0,25,5.0,5.0,5,0.0
1,12.0,15.0,19,5.0,6.0,8,0.0
2,7.0,14.0,16,4.0,5.0,6,0.0
3,7.0,14.0,16,4.0,5.0,6,0.0
4,14.0,16.0,21,5.0,6.0,8,0.0
