formula,IC,signed_train_IC,train_sign,abs_train_IC,raw_fitness,effective_fitness,hard_invalid,research_invalid,validity_pass,invalid_reason,mean_daily_coverage_ratio,median_daily_n_valid,valid_day_ratio,method,constraint_mode,seed,hof_mode,n_dedup_removed,decorr_degenerate_pairs,n_decorr_removed,decorr_max_abs_corr_final
"Sum($factor, 12)",0.14709691789838739,-0.0037204604167053847,-1,0.0037204604167053847,0.14709691789838739,0.14709691789838739,False,False,True,,1.0,300.0,1.0,gplearn_asb_v2,strict_penalty,42,fixed,18,0,7,0.043568651764152165
"Delta(Slope(Delta(Min(Less($volume, $adjclose), 64), 30), 30), 64)",0.08139053928836858,-0.006075171363246697,-1,0.006075171363246697,0.08139053928836858,0.08139053928836858,False,False,True,,0.9821791320406279,294.0,1.0,gplearn_asb_v2,strict_penalty,42,fixed,18,0,7,0.043568651764152165
"Delta(Sum($amount, 64), 64)",0.02495712152509708,-0.0031363036023677984,-1,0.0031363036023677984,0.02495712152509708,0.02495712152509708,False,False,True,,0.9821329639889197,293.0,1.0,gplearn_asb_v2,strict_penalty,42,fixed,18,0,7,0.043568651764152165
"Slope(Delta(IdxMax($change, 64), 30), 30)",0.02331430370323685,-0.005455922443429268,-1,0.005455922443429268,0.02331430370323685,0.02331430370323685,False,False,True,,0.9890766389658359,296.0,1.0,gplearn_asb_v2,strict_penalty,42,fixed,18,0,7,0.043568651764152165
"Slope(Delta(Min(Sum($factor, 12), 64), 30), 30)",0.016018301237508803,-0.0022638716751210313,-1,0.0022638716751210313,0.016018301237508803,0.016018301237508803,False,False,True,,1.0,300.0,1.0,gplearn_asb_v2,strict_penalty,42,fixed,18,0,7,0.043568651764152165
